Bodovi , Kolo 1, Kolo 2, Kolo 3, Kolo 4, Kolo 5, Kolo 6, Kolo 7, Kolo 8, Kolo 9, Kolo 10, Kolo 11, Kolo 12, Kolo 13
KNKP,0,0,0,3,3,0,0,0,0,0,0,0,0
Ima i gorih,3,3,3,0,3,3,3,3,3,3,0,3,0
Samo Spinut,3,3,3,3,3,3,0,3,0,3,3,3,3
UB Noževi,0,0,0,0,0,1,0,0,0,0,0,0,0
MNK Čunoglavci,0,0,3,3,0,0,0,0,3,1,3,0,3
NK Čuture,0,3,0,0,3,1,3,0,3,0,0,0,3
Los Kostolomikos,3,3,3,0,0,0,3,3,3,3,3,3,3
Matina Kola,3,0,0,3,3,3,3,0,0,0,0,0,0
Bugarske skitnice,0,3,1,3,0,3,3,3,3,0,0,0,0
HNK Pegalj,3,0,1,0,0,0,0,3,0,1,3,3,0
,,,,,,,,,,,,,,,,,
Dani golovi , Kolo 1, Kolo 2, Kolo 3, Kolo 4, Kolo 5, Kolo 6, Kolo 7, Kolo 8, Kolo 9, Kolo 10, Kolo 11, Kolo 12, Kolo 13
KNKP,3,0,3,4,8,4,7,0,0,0,0,0,0
Ima i gorih,6,8,5,9,6,5,6,9,11,13,3,20,4
Samo Spinut,4,3,8,6,10,10,4,7,8,9,10,6,4
UB Noževi,0,0,5,5,0,4,8,6,0,0,0,0,0
MNK Čunoglavci,3,4,9,8,8,4,5,4,8,7,6,3,4
NK Čuture,2,8,0,6,11,4,7,3,8,0,3,3,11
Los Kostolomikos,10,8,5,3,5,2,6,8,3,8,9,8,8
Matina Kola,13,7,4,12,12,4,10,4,4,3,3,3,4
Bugarske skitnice,5,7,4,10,7,3,12,10,25,7,4,0,9
HNK Pegalj,8,1,4,1,4,3,2,6,2,7,8,6,2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Primljeni golovi , Kolo 1, Kolo 2, Kolo 3, Kolo 4, Kolo 5, Kolo 6, Kolo 7, Kolo 8, Kolo 9, Kolo 10, Kolo 11, Kolo 12, Kolo 13
KNKP,13,8,9,1,0,10,12,8,8,0,0,0,0
Ima i gorih,5,0,0,12,5,4,2,6,8,7,9,3,5
Samo Spinut,3,1,5,3,7,4,7,4,11,3,4,3,2
UB Noževi,8,8,8,10,8,4,10,9,8,0,0,0,0
MNK Čunoglavci,4,7,3,6,12,5,6,6,0,7,3,6,4
NK Čuture,10,7,5,8,4,4,4,10,0,8,6,6,9
Los Kostolomikos,2,0,4,6,6,3,5,0,2,0,3,0,4
Matina Kola,3,8,5,9,8,3,8,7,25,9,8,20,8
Bugarske skitnice,6,4,4,5,10,2,7,3,4,13,10,8,11
HNK Pegalj,0,3,4,4,11,4,6,4,3,7,3,3,4
